s0_level,index,value,degree,minimal_polynomial
4,245,2.76959,8,1-2 t-3 t^2+t^3+4 t^4+t^5-3 t^6-2 t^7+t^8
4,246,2.77222,10,1-3 t+2 t^3-t^4+t^5-t^6+2 t^7-3 t^9+t^10
4,247,2.77529,10,1-t-3 t^2-3 t^3-4 t^4-5 t^5-4 t^6-3 t^7-3 t^8-t^9+t^10
4,248,2.77548,8,1-4 t+5 t^2-6 t^3+6 t^4-6 t^5+5 t^6-4 t^7+t^8
4,249,2.7772,10,1-2 t-2 t^2-2 t^3+3 t^4+3 t^5+3 t^6-2 t^7-2 t^8-2 t^9+t^10
3,250,2.77963,8,1-3 t+t^2-3 t^4+t^6-3 t^7+t^8
4,251,2.78047,8,1-2 t-5 t^3-t^4-5 t^5-2 t^7+t^8
4,252,2.78117,8,1-2 t-2 t^2-t^4-2 t^6-2 t^7+t^8
4,253,2.78477,8,1-4 t+5 t^2-7 t^3+9 t^4-7 t^5+5 t^6-4 t^7+t^8
3,254,2.78619,6,1-3 t+2 t^3-3 t^5+t^6
3,255,2.78798,10,1-2 t-2 t^2-t^4-t^5-t^6-2 t^8-2 t^9+t^10
4,256,2.78933,10,1-3 t-t^2+5 t^3-5 t^5+5 t^7-t^8-3 t^9+t^10
4,257,2.78997,10,1-4 t+4 t^2-2 t^3+t^4-t^5+t^6-2 t^7+4 t^8-4 t^9+t^10
4,258,2.79321,8,1-3 t+t^2-2 t^3+3 t^4-2 t^5+t^6-3 t^7+t^8
4,259,2.79387,8,1-2 t-t^2-2 t^3-3 t^4-2 t^5-t^6-2 t^7+t^8
4,260,2.79663,8,1-4 t+4 t^2-2 t^3+t^4-2 t^5+4 t^6-4 t^7+t^8
4,261,2.79854,8,1-2 t-t^2-3 t^3-3 t^5-t^6-2 t^7+t^8
4,262,2.80077,10,1-3 t+2 t^2-4 t^3+t^4-3 t^5+t^6-4 t^7+2 t^8-3 t^9+t^10
4,263,2.80106,8,1-t-3 t^2-4 t^3-3 t^4-4 t^5-3 t^6-t^7+t^8
4,264,2.80272,10,1-2 t-t^2-2 t^3-3 t^4-2 t^5-3 t^6-2 t^7-t^8-2 t^9+t^10
4,265,2.80814,6,1-2 t-t^2-3 t^3-t^4-2 t^5+t^6
3,266,2.81016,6,1-3 t-t^2+5 t^3-t^4-3 t^5+t^6
3,267,2.81482,6,1-4 t+5 t^2-6 t^3+5 t^4-4 t^5+t^6
4,268,2.81895,8,1-3 t+t^3+t^4+t^5-3 t^7+t^8
4,269,2.8205,8,1-2 t-2 t^2-t^3+t^4-t^5-2 t^6-2 t^7+t^8
4,270,2.82209,10,1-2 t-3 t^2+t^3+2 t^4+t^5+2 t^6+t^7-3 t^8-2 t^9+t^10
4,271,2.82258,10,1-t-3 t^2-4 t^3-4 t^4-3 t^5-4 t^6-4 t^7-3 t^8-t^9+t^10
4,272,2.8232,6,1-2 t-2 t^2-2 t^4-2 t^5+t^6
4,273,2.82764,10,1-3 t+2 t^3-t^4-2 t^5-t^6+2 t^7-3 t^9+t^10
3,274,2.82838,6,1-t-3 t^2-5 t^3-3 t^4-t^5+t^6
4,275,2.83083,8,1-3 t+t^2-t^3-t^4-t^5+t^6-3 t^7+t^8
4,276,2.83633,8,1-4 t+5 t^2-6 t^3+5 t^4-6 t^5+5 t^6-4 t^7+t^8
4,277,2.84119,10,1-3 t+t^3+t^4-t^5+t^6+t^7-3 t^9+t^10
4,278,2.84148,10,1-4 t+3 t^2+2 t^3-4 t^4+3 t^5-4 t^6+2 t^7+3 t^8-4 t^9+t^10
4,279,2.8446,8,1-t-3 t^2-4 t^3-5 t^4-4 t^5-3 t^6-t^7+t^8
4,280,2.84485,10,1-3 t+t^2-3 t^3+4 t^4-t^5+4 t^6-3 t^7+t^8-3 t^9+t^10
4,281,2.84751,6,1-4 t+4 t^2-3 t^3+4 t^4-4 t^5+t^6
4,282,2.85052,10,1-3 t+t^2-2 t^3+t^4+t^6-2 t^7+t^8-3 t^9+t^10
4,283,2.85271,8,1-2 t-2 t^2-t^3-t^5-2 t^6-2 t^7+t^8
4,284,2.85377,8,1-3 t+2 t^2-5 t^3+3 t^4-5 t^5+2 t^6-3 t^7+t^8
4,285,2.85676,8,1-2 t-t^2-3 t^3-2 t^4-3 t^5-t^6-2 t^7+t^8
